nom_joueur,club,position,minutes_jouées,match_joués,buts,passes_décisives,distance_parcourue_(km),corner_tiré,hors_jeu,dribbles,total_tir,tir_cadré,tir_non_cadré,tir_bloqué,ballons_récupérés,tacles,tacles_réussi,tacles_loupé,joueur_éliminé,fautes_commmies,fautes_subies,carton_jaune,carton_rouge,%_passes_réussies,passes_tentées,passes_réussies,%_transversales_réussies,transversales_tentées,transversales_réussies,coup_franc_tirés,tirs_sauvés,buts_concédés,penalty_sauvé,cleansheets,but_du_pied_droit,but_du_pied_gauche,but_de_la_tête,but_autres_façons,but_intérieur_surface,but_dehors_surface,penaltys
Thiago Silva,Chelsea,Defenseur,757,9,0,1,71.7,0.0,0.0,0.0,7.0,1.0,2.0,4.0,65.0,9.0,4.0,5.0,17.0,6.0,5.0,1.0,0.0,93.1,607.0,571.0,100.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De Bruyne,Man. City,Milieu,734,10,2,4,95.5,18.0,0.0,14.0,24.0,7.0,9.0,8.0,11.0,6.0,0.0,6.0,2.0,9.0,9.0,2.0,0.0,82.6,397.0,334.0,26.0,41.0,11.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
Škriniar,Inter,Defenseur,720,8,1,0,85.1,0.0,0.0,0.0,10.0,3.0,6.0,1.0,38.0,11.0,6.0,5.0,26.0,5.0,7.0,1.0,0.0,91.4,451.0,416.0,50.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Kristensen,Salzburg,Defenseur,720,8,0,1,85.5,0.0,2.0,12.0,10.0,2.0,5.0,3.0,36.0,18.0,8.0,10.0,27.0,14.0,4.0,1.0,0.0,65.8,282.0,191.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martínez,Ajax,Defenseur,720,8,0,1,83.3,0.0,0.0,3.0,6.0,2.0,4.0,0.0,53.0,10.0,2.0,8.0,19.0,7.0,7.0,1.0,0.0,94.1,674.0,633.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquinhos,Paris,Defenseur,720,8,0,1,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,2.0,0.0,36.0,3.0,3.0,0.0,0.0,92.5,509.0,475.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fonte,LOSC,Defenseur,720,8,0,0,81.3,0.0,0.0,0.0,3.0,0.0,2.0,1.0,47.0,13.0,9.0,4.0,29.0,6.0,5.0,3.0,0.0,88.5,369.0,328.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Köhn,Salzburg,Gardien,720,8,0,0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,220.0,156.0,0.0,0.0,0.0,25.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Handanovič,Inter,Gardien,720,8,0,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6,253.0,230.0,0.0,0.0,0.0,7.0,12.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakimi,Paris,Defenseur,718,8,0,0,85.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,36.0,7.0,1.0,6.0,11.0,3.0,7.0,2.0,0.0,90.4,417.0,378.0,10.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulmer,Salzburg,Defenseur,716,8,0,0,84.2,0.0,0.0,0.0,5.0,2.0,1.0,2.0,41.0,6.0,2.0,4.0,20.0,13.0,2.0,2.0,0.0,66.9,277.0,187.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilberto,Benfica,Defenseur,715,9,1,0,85.7,0.0,0.0,0.0,3.0,1.0,0.0,2.0,48.0,17.0,8.0,9.0,17.0,16.0,13.0,1.0,0.0,79.8,291.0,232.0,30.0,13.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Aaronson,Salzburg,Milieu,715,8,0,2,103.5,4.0,5.0,9.0,9.0,3.0,2.0,4.0,17.0,4.0,0.0,4.0,3.0,3.0,13.0,0.0,0.0,76.1,239.0,181.0,27.0,18.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafa Silva,Benfica,Attaquant,704,9,1,1,85.7,0.0,3.0,27.0,9.0,1.0,4.0,4.0,21.0,12.0,6.0,6.0,1.0,8.0,14.0,2.0,0.0,76.1,187.0,145.0,37.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Gravenberch,Ajax,Milieu,703,8,0,1,89.1,15.0,1.0,18.0,9.0,5.0,2.0,2.0,30.0,4.0,3.0,1.0,10.0,17.0,11.0,1.0,0.0,87.4,386.0,342.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kimmich,Bayern,Milieu,702,8,0,0,96.4,0.0,0.0,0.0,8.0,2.0,2.0,4.0,41.0,15.0,6.0,9.0,3.0,3.0,17.0,1.0,0.0,89.5,688.0,616.0,35.0,48.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Llorente,Atlético,Milieu,700,9,0,0,83.6,0.0,0.0,0.0,2.0,1.0,1.0,0.0,37.0,6.0,0.0,6.0,8.0,13.0,10.0,3.0,0.0,80.7,249.0,212.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azpilicueta,Chelsea,Defenseur,679,9,1,1,82.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,26.0,6.0,3.0,3.0,9.0,9.0,3.0,1.0,0.0,88.0,491.0,434.0,15.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
David,LOSC,Attaquant,679,8,3,0,86.1,0.0,0.0,0.0,12.0,5.0,5.0,2.0,11.0,1.0,1.0,0.0,1.0,4.0,12.0,0.0,0.0,82.4,148.0,122.0,100.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0
Mbappé,Paris,Attaquant,673,8,6,4,65.2,4.0,8.0,43.0,27.0,16.0,6.0,5.0,10.0,1.0,0.0,1.0,2.0,3.0,11.0,1.0,0.0,85.4,257.0,220.0,13.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
Havertz,Chelsea,Milieu,672,9,3,0,86.3,0.0,0.0,0.0,26.0,11.0,9.0,6.0,7.0,3.0,0.0,3.0,6.0,12.0,9.0,1.0,0.0,86.1,248.0,210.0,66.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0
Camara,Salzburg,Milieu,672,8,0,0,80.9,0.0,0.0,0.0,3.0,0.0,3.0,0.0,41.0,14.0,7.0,7.0,4.0,14.0,23.0,2.0,0.0,86.5,369.0,325.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haller,Ajax,Attaquant,668,8,11,1,82.2,0.0,3.0,9.0,24.0,15.0,8.0,1.0,10.0,8.0,2.0,6.0,5.0,17.0,11.0,1.0,0.0,80.8,162.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,11.0,0.0,1.0
Bastoni,Inter,Defenseur,666,8,0,0,76.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,46.0,7.0,2.0,5.0,18.0,11.0,8.0,2.0,0.0,89.0,432.0,387.0,18.0,11.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koke,Atlético,Milieu,665,9,0,1,91.2,4.0,0.0,2.0,3.0,0.0,2.0,1.0,30.0,11.0,8.0,3.0,7.0,7.0,11.0,1.0,0.0,81.1,308.0,252.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúben Dias,Man. City,Defenseur,664,8,0,0,83.1,0.0,0.0,0.0,4.0,1.0,0.0,3.0,45.0,11.0,1.0,10.0,16.0,6.0,1.0,0.0,0.0,92.6,464.0,431.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mazraoui,Ajax,Defenseur,661,8,0,2,81.5,0.0,0.0,13.0,9.0,3.0,3.0,3.0,40.0,16.0,10.0,6.0,9.0,9.0,8.0,1.0,0.0,86.9,385.0,338.0,36.0,19.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gündoğan,Man. City,Milieu,660,10,0,2,86.4,16.0,1.0,3.0,14.0,2.0,4.0,8.0,13.0,6.0,0.0,6.0,2.0,4.0,7.0,1.0,0.0,90.8,406.0,367.0,33.0,15.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upamecano,Bayern,Defenseur,660,8,0,0,82.3,0.0,0.0,0.0,2.0,0.0,1.0,1.0,46.0,4.0,1.0,3.0,16.0,10.0,5.0,3.0,0.0,93.1,562.0,519.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foden,Man. City,Milieu,658,11,3,2,89.1,13.0,6.0,12.0,22.0,9.0,7.0,6.0,10.0,5.0,1.0,4.0,0.0,5.0,10.0,1.0,0.0,81.1,287.0,238.0,26.0,23.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
Seiwald,Salzburg,Milieu,649,8,0,1,85.3,18.0,1.0,5.0,4.0,3.0,0.0,1.0,44.0,18.0,6.0,12.0,9.0,19.0,3.0,2.0,0.0,69.0,258.0,190.0,20.0,25.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estupiñán,Villarreal,Defenseur,645,10,0,0,76.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,8.0,4.0,4.0,31.0,7.0,3.0,2.0,0.0,83.2,282.0,229.0,28.0,14.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stones,Man. City,Defenseur,637,8,0,0,73.2,0.0,0.0,0.0,6.0,1.0,4.0,1.0,33.0,1.0,1.0,0.0,8.0,3.0,3.0,1.0,0.0,94.4,545.0,523.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brozović,Inter,Milieu,635,8,1,0,89.3,0.0,0.0,0.0,11.0,1.0,4.0,6.0,38.0,15.0,6.0,9.0,6.0,5.0,6.0,0.0,0.0,90.6,559.0,506.0,75.0,8.0,6.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Coman,Bayern,Attaquant,632,9,2,3,76.3,4.0,4.0,59.0,20.0,6.0,10.0,4.0,14.0,2.0,0.0,2.0,4.0,6.0,16.0,1.0,0.0,84.2,329.0,271.0,30.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
Messi,Paris,Attaquant,630,7,5,0,58.7,0.0,0.0,0.0,26.0,10.0,8.0,8.0,7.0,2.0,1.0,1.0,1.0,3.0,11.0,1.0,0.0,89.9,428.0,385.0,35.0,14.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,2.0
Tadić,Ajax,Attaquant,630,7,2,2,78.9,5.0,5.0,13.0,12.0,3.0,4.0,5.0,12.0,2.0,0.0,2.0,1.0,11.0,9.0,0.0,0.0,75.7,303.0,231.0,43.0,44.0,19.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
André,LOSC,Milieu,630,7,0,0,80.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,49.0,24.0,12.0,12.0,11.0,9.0,10.0,3.0,0.0,82.0,352.0,289.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kimpembe,Paris,Defenseur,630,7,0,0,64.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,4.0,5.0,32.0,8.0,6.0,3.0,0.0,93.3,376.0,352.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adán,Sporting CP,Gardien,630,7,0,0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2,233.0,166.0,0.0,0.0,0.0,34.0,17.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Szczęsny,Juventus,Gardien,630,7,0,0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,176.0,145.0,0.0,0.0,0.0,8.0,14.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De Gea,Man. United,Gardien,630,7,0,0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,164.0,121.0,0.0,0.0,0.0,9.0,19.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berghuis,Ajax,Attaquant,628,8,3,1,79.8,15.0,2.0,3.0,16.0,5.0,6.0,5.0,14.0,6.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,82.0,277.0,229.0,32.0,28.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
De Ligt,Juventus,Defenseur,627,7,0,0,71.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,49.0,5.0,4.0,1.0,24.0,3.0,2.0,2.0,0.0,87.6,346.0,307.0,100.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Núñez,Benfica,Attaquant,613,10,6,0,72.4,0.0,0.0,0.0,15.0,8.0,7.0,0.0,10.0,4.0,2.0,2.0,7.0,6.0,7.0,1.0,0.0,56.4,117.0,67.0,22.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,1.0
Matheus Reis,Sporting CP,Defenseur,611,8,0,0,75.3,0.0,0.0,0.0,4.0,0.0,3.0,1.0,23.0,9.0,6.0,3.0,10.0,6.0,8.0,0.0,0.0,84.1,224.0,192.0,16.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronaldo,Man. United,Attaquant,611,7,6,0,59.2,0.0,0.0,0.0,22.0,12.0,8.0,2.0,5.0,3.0,1.0,2.0,6.0,4.0,11.0,1.0,0.0,87.2,204.0,179.0,60.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0
Adeyemi,Salzburg,Attaquant,607,8,3,1,69.2,0.0,0.0,23.0,16.0,10.0,3.0,3.0,8.0,4.0,1.0,3.0,0.0,9.0,18.0,2.0,0.0,53.1,90.0,49.0,28.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0
Christensen,Chelsea,Defenseur,603,8,1,1,62.6,0.0,0.0,1.0,3.0,2.0,0.0,1.0,41.0,10.0,6.0,4.0,14.0,7.0,4.0,0.0,0.0,93.4,552.0,517.0,50.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Zeki Çelik,LOSC,Defenseur,591,7,0,1,71.3,0.0,1.0,5.0,4.0,0.0,4.0,0.0,29.0,8.0,4.0,4.0,8.0,6.0,3.0,1.0,0.0,78.0,297.0,233.0,33.0,12.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martínez,Inter,Attaquant,587,8,1,0,67.4,0.0,0.0,0.0,28.0,7.0,10.0,11.0,13.0,11.0,4.0,7.0,0.0,7.0,9.0,1.0,0.0,81.1,121.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Giménez,Atlético,Defenseur,585,7,0,0,63.3,0.0,0.0,0.0,5.0,0.0,4.0,1.0,35.0,4.0,2.0,2.0,23.0,4.0,3.0,1.0,0.0,78.9,211.0,175.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulinho,Sporting CP,Attaquant,582,8,3,1,68.2,0.0,5.0,8.0,16.0,8.0,7.0,1.0,12.0,3.0,0.0,3.0,4.0,5.0,14.0,2.0,0.0,74.8,139.0,105.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0
Sterling,Man. City,Attaquant,581,12,3,2,71.1,0.0,6.0,14.0,17.0,6.0,9.0,2.0,7.0,3.0,0.0,3.0,0.0,14.0,10.0,1.0,0.0,88.4,206.0,185.0,12.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0
Nuno Mendes,Paris,Defenseur,581,8,0,0,62.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,25.0,5.0,4.0,1.0,12.0,5.0,10.0,1.0,0.0,83.6,258.0,220.0,16.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonucci,Juventus,Defenseur,580,7,0,0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,6.0,2.0,4.0,17.0,0.0,0.0,0.0,0.0,89.3,434.0,391.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kondogbia,Atlético,Milieu,578,9,0,0,71.3,0.0,0.0,0.0,6.0,1.0,4.0,1.0,40.0,15.0,6.0,9.0,7.0,5.0,11.0,2.0,0.0,84.5,242.0,209.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De Paul,Atlético,Milieu,577,9,1,0,74.5,0.0,0.0,0.0,13.0,4.0,6.0,3.0,25.0,6.0,1.0,5.0,9.0,12.0,13.0,2.0,0.0,75.8,293.0,228.0,29.0,17.0,5.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Antony,Ajax,Attaquant,577,7,2,5,65.1,3.0,4.0,28.0,26.0,10.0,9.0,7.0,25.0,7.0,3.0,4.0,2.0,5.0,9.0,1.0,0.0,81.9,322.0,262.0,18.0,27.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Walker,Man. City,Defenseur,577,7,1,0,64.1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,34.0,3.0,1.0,2.0,11.0,3.0,1.0,0.0,1.0,86.6,397.0,347.0,9.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
João Félix,Atlético,Attaquant,573,8,1,1,68.5,1.0,3.0,21.0,12.0,3.0,7.0,2.0,5.0,6.0,1.0,5.0,7.0,4.0,13.0,2.0,0.0,81.3,160.0,131.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Wöber,Salzburg,Defenseur,573,7,1,0,66.5,0.0,0.0,0.0,8.0,2.0,4.0,2.0,39.0,14.0,6.0,8.0,36.0,7.0,3.0,0.0,0.0,79.0,314.0,255.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Blind,Ajax,Defenseur,572,8,1,1,70.9,0.0,1.0,8.0,4.0,2.0,1.0,1.0,32.0,11.0,4.0,7.0,8.0,5.0,0.0,1.0,0.0,83.9,439.0,368.0,53.0,15.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
L. Hernández,Bayern,Defenseur,572,8,0,0,69.4,0.0,0.0,0.0,6.0,1.0,4.0,1.0,49.0,9.0,6.0,3.0,15.0,11.0,6.0,2.0,0.0,92.0,543.0,496.0,37.0,8.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Timber,Ajax,Milieu,570,8,0,0,64.9,0.0,0.0,0.0,2.0,0.0,2.0,0.0,35.0,6.0,2.0,4.0,12.0,10.0,6.0,3.0,0.0,95.8,497.0,474.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorginho,Chelsea,Milieu,561,8,2,2,68.7,1.0,0.0,1.0,4.0,2.0,1.0,1.0,38.0,7.0,5.0,2.0,2.0,9.0,8.0,0.0,0.0,91.5,519.0,477.0,50.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0
Gonçalo Inácio,Sporting CP,Defenseur,561,7,0,1,60.7,0.0,0.0,2.0,1.0,0.0,1.0,0.0,28.0,4.0,3.0,1.0,16.0,3.0,2.0,1.0,0.0,91.4,271.0,246.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvarez,Ajax,Milieu,558,7,0,0,73.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,29.0,19.0,10.0,9.0,7.0,17.0,6.0,4.0,0.0,93.3,363.0,340.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Sandro,Juventus,Defenseur,553,7,1,0,69.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,32.0,11.0,4.0,7.0,11.0,8.0,9.0,0.0,0.0,86.9,325.0,284.0,14.0,7.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Alonso,Chelsea,Defenseur,548,8,0,0,68.9,0.0,0.0,0.0,12.0,4.0,4.0,4.0,17.0,3.0,1.0,2.0,4.0,11.0,7.0,1.0,0.0,86.3,300.0,258.0,38.0,34.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton,Benfica,Attaquant,543,9,0,0,67.1,0.0,0.0,0.0,9.0,4.0,4.0,1.0,13.0,7.0,5.0,2.0,2.0,6.0,9.0,0.0,0.0,78.7,115.0,87.0,44.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Džeko,Inter,Attaquant,541,7,3,1,64.6,0.0,2.0,4.0,25.0,12.0,6.0,7.0,6.0,0.0,0.0,0.0,5.0,3.0,10.0,0.0,0.0,72.9,157.0,116.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
Vanaken,Club Brugge,Milieu,540,6,3,1,69.4,2.0,0.0,7.0,12.0,6.0,1.0,5.0,22.0,1.0,0.0,1.0,3.0,3.0,5.0,0.0,0.0,83.8,288.0,241.0,100.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
S. Thill,Sheriff,Milieu,540,6,2,1,76.8,9.0,0.0,1.0,13.0,6.0,5.0,2.0,14.0,12.0,6.0,6.0,16.0,2.0,2.0,1.0,0.0,81.2,206.0,167.0,23.0,17.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
Coates,Sporting CP,Defenseur,540,6,2,0,50.9,0.0,0.0,0.0,7.0,2.0,4.0,1.0,28.0,6.0,2.0,4.0,29.0,1.0,3.0,1.0,0.0,87.0,240.0,211.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Arnold,Wolfsburg,Milieu,540,6,0,3,67.3,10.0,0.0,1.0,5.0,1.0,3.0,1.0,30.0,5.0,2.0,3.0,8.0,10.0,9.0,3.0,0.0,78.7,266.0,210.0,38.0,18.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristiano,Sheriff,Defenseur,540,6,0,3,63.2,0.0,1.0,7.0,3.0,1.0,2.0,0.0,18.0,8.0,3.0,5.0,18.0,4.0,3.0,1.0,0.0,73.3,159.0,117.0,42.0,21.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zabarnyi,Dynamo Kyiv,Defenseur,540,6,0,0,67.1,0.0,0.0,0.0,2.0,0.0,2.0,0.0,26.0,4.0,2.0,2.0,26.0,5.0,8.0,1.0,0.0,90.2,241.0,221.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando,Sevilla,Milieu,540,6,0,0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,1.0,2.0,6.0,6.0,6.0,1.0,0.0,86.0,293.0,253.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Costanza,Sheriff,Defenseur,540,6,0,0,64.6,0.0,0.0,0.0,2.0,0.0,1.0,1.0,39.0,19.0,13.0,6.0,39.0,6.0,8.0,2.0,0.0,65.5,136.0,92.0,18.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dodô,Shakhtar Donetsk,Defenseur,540,6,0,0,64.5,0.0,0.0,0.0,7.0,2.0,4.0,1.0,37.0,10.0,6.0,4.0,8.0,5.0,8.0,0.0,0.0,88.2,289.0,256.0,10.0,10.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barrios,Zenit,Milieu,540,6,0,0,61.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41.0,11.0,7.0,4.0,13.0,6.0,9.0,1.0,0.0,91.7,306.0,282.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
